,dataset,Human,FFT,ACF,SuSS,MWF,Autoperiod,RobustPeriod
0,Adiac,10,22,22,22,22,22,4
1,ArrowHead,10,31,63,32,32,32,31
2,Beef,50,58,118,66,117,61,7
3,BeetleFly,10,21,258,34,112,27,22
4,BirdChicken,20,42,255,48,69,44,43
5,Car,20,18,36,24,18,18,18
6,CBF,20,32,32,36,-1,32,343
7,ChlorineConcentration,10,20,83,36,20,21,21
8,CinCECGTorso,10,199,825,106,269,235,-1
9,Coffee,10,35,36,30,9,36,4
10,Computers,50,45,44,68,45,44,45
11,CricketX,10,18,19,42,19,19,69
12,CricketY,10,18,19,34,19,19,19
13,CricketZ,10,18,112,44,19,19,323
14,DiatomSizeReduction,20,43,43,34,43,43,14
15,DistalPhalanxOutlineAgeGroup,50,10,10,20,16,10,3
16,DistalPhalanxTW,10,20,20,20,20,20,3
17,Earthquakes,10,19,557,68,88,22,435
18,ECG200,20,23,48,32,24,24,12
19,ECG5000,10,11,35,26,9,4,4
20,ECGFiveDays,20,17,68,42,-1,16,17
21,ElectricDevices,10,10,12,82,8,-1,-1
22,FaceAll,10,10,33,40,22,-1,6
23,FaceFour,50,43,349,88,85,46,44
24,FacesUCR,20,10,262,34,44,10,22
25,FiftyWords,10,33,34,38,33,34,34
26,Fish,10,28,58,30,29,29,14
27,GunPoint,10,37,37,40,37,37,37
28,Haptics,10,68,68,50,68,68,17
29,InlineSkate,10,117,235,72,118,117,118
30,InsectWingbeatSound,10,16,48,26,12,16,83
31,ItalyPowerDemand,20,24,48,28,24,24,12
32,LargeKitchenAppliances,100,22,23,46,22,23,22
33,Lightning2,20,19,60,34,20,20,34
34,Lightning7,50,159,638,96,160,159,27
35,Mallat,10,42,128,38,89,41,128
36,Meat,10,27,56,44,56,56,5
37,MedicalImages,10,49,49,52,49,49,16
38,MoteStrain,50,83,251,78,83,84,16
39,NonInvasiveFetalECGThorax1,20,46,47,44,47,47,7
40,NonInvasiveFetalECGThorax2,20,46,47,40,47,47,10
41,OliveOil,50,285,285,70,270,285,26
42,OSULeaf,10,13,53,26,41,13,64
43,Plane,10,18,36,26,18,18,12
44,ProximalPhalanxOutlineAgeGroup,10,10,10,20,16,10,3
45,ProximalPhalanxTW,10,20,20,20,20,20,3
46,ShapesAll,10,64,128,58,69,65,64
47,SonyAIBORobotSurface1,20,35,70,42,36,33,14
48,SonyAIBORobotSurface2,10,13,130,48,31,7,32
49,StarLightCurves,10,10,16,20,9,-1,3
50,SwedishLeaf,10,16,32,30,16,16,16
51,Symbols,10,99,100,60,99,100,33
52,SyntheticControl,10,15,15,24,15,15,160
53,ToeSegmentation1,10,26,22,40,82,24,88
54,ToeSegmentation2,10,33,68,48,36,35,34
55,Trace,50,68,69,50,68,69,34
56,TwoLeadECG,10,20,41,26,-1,20,-1
57,TwoPatterns,10,10,112,26,12,8,8
58,UWaveGestureLibraryAll,10,14,59,20,11,5,15
59,UWaveGestureLibraryX,10,10,10,20,11,5,35
60,UWaveGestureLibraryY,10,10,10,20,11,5,61
61,UWaveGestureLibraryZ,10,10,10,20,11,5,36
62,Wafer,20,12,184,26,9,6,264
63,WordSynonyms,10,33,101,40,33,34,11
64,Worms,10,19,38,30,24,11,-1
65,Yoga,10,26,107,34,43,24,18
66,Crop,10,22,46,52,23,23,12
67,EOGHorizontalSignal,20,80,78,80,78,78,19
68,EOGVerticalSignal,20,77,78,70,78,78,20
69,FreezerRegularTrain,20,75,75,64,75,75,15
70,Ham,10,26,108,52,107,26,27
71,MelbournePedestrian,10,11,24,20,12,12,6
72,MiddlePhalanxOutlineAgeGroup,10,39,40,28,40,40,13
73,MiddlePhalanxOutlineCorrect,10,20,20,20,20,20,136
74,PowerCons,10,17,18,26,12,5,5
75,ProximalPhalanxOutlineCorrect,10,10,10,20,16,10,135
76,Strawberry,10,14,44,22,14,15,15
77,Chinatown,10,24,24,24,-1,24,24
78,DodgerLoopDay,20,288,13,62,288,287,96
79,Herring,10,64,128,48,64,64,64
80,MiddlePhalanxTW,10,80,80,38,74,80,27
81,ShapeletSim,50,11,641,22,194,2,100
82,UMD,10,138,151,74,143,151,25
